x,y,R,G,B,,
20,16,255,255,255,,
21,16,255,255,255,,
22,16,255,255,255,,
23,16,255,255,255,,
24,16,255,255,255,,
25,16,255,255,255,,
26,16,255,255,255,,
27,16,255,255,255,,
28,16,255,255,255,,
0,17,255,255,255,,
1,17,255,255,255,,
2,17,255,255,255,,
3,17,255,255,255,,
4,17,255,255,255,,
5,17,255,255,255,,
6,17,255,255,255,,
7,17,219,144,58,,
8,17,0,0,0,,
9,17,0,0,0,,
10,17,58,144,219,,
11,17,255,255,255,,
12,17,255,255,255,,
13,17,255,255,255,,
14,17,255,255,219,,
15,17,144,58,0,,
16,17,0,0,0,,
17,17,0,0,58,,
18,17,144,219,255,,
19,17,255,255,255,,
20,17,255,255,255,,
21,17,255,255,255,,
22,17,255,255,255,,
23,17,255,255,255,,
24,17,255,255,255,,
25,17,255,255,255,,
26,17,255,255,255,,
27,17,255,255,255,,
28,17,255,255,255,,
0,18,255,255,255,,
1,18,255,255,255,,
2,18,255,255,255,,
3,18,255,255,255,,
4,18,255,255,255,,
5,18,255,255,255,,
6,18,255,255,255,,
7,18,219,144,58,,
8,18,0,0,0,,
9,18,0,0,0,,
10,18,58,144,219,,
11,18,255,255,255,,
12,18,255,255,255,,
13,18,255,255,255,,
14,18,255,255,182,,
15,18,102,0,0,,
16,18,0,0,0,,
17,18,0,0,58,,
18,18,144,219,255,,
19,18,255,255,255,,
20,18,255,255,255,,
21,18,255,255,255,,
22,18,255,255,255,,
23,18,255,255,255,,
24,18,255,255,255,,
25,18,255,255,255,,
26,18,255,255,255,,
27,18,255,255,255,,
28,18,255,255,255,,
0,19,255,255,255,,
1,19,255,255,255,,
2,19,255,255,255,,
3,19,255,255,255,,
4,19,255,255,255,,
5,19,255,255,255,,
6,19,255,255,255,,
7,19,219,144,58,,
8,19,0,0,0,,
9,19,0,0,0,,
10,19,0,102,182,,
11,19,255,255,255,,
12,19,255,255,255,,
13,19,255,255,255,,
14,19,255,219,144,,
15,19,58,0,0,,
16,19,0,0,0,,
17,19,0,0,102,,
18,19,182,255,255,,
19,19,255,255,255,,
20,19,255,255,255,,
21,19,255,255,255,,
22,19,255,255,255,,
23,19,255,255,255,,
24,19,255,255,255,,
25,19,255,255,255,,
26,19,255,255,255,,
27,19,255,255,255,,
28,19,255,255,255,,
0,20,255,255,255,,
1,20,255,255,255,,
2,20,255,255,255,,
3,20,255,255,255,,
4,20,255,255,255,,
5,20,255,255,255,,
6,20,255,255,255,,
7,20,219,144,58,,
8,20,0,0,0,,
9,20,0,0,0,,
10,20,0,0,0,,
11,20,58,102,182,,
12,20,219,255,255,,
13,20,255,219,182,,
14,20,144,58,0,,
15,20,0,0,0,,
16,20,0,0,0,,
17,20,58,144,219,,
18,20,255,255,255,,
19,20,255,255,255,,
20,20,255,255,255,,
21,20,255,255,255,,
22,20,255,255,255,,
23,20,255,255,255,,
24,20,255,255,255,,
25,20,255,255,255,,
26,20,255,255,255,,
27,20,255,255,255,,
28,20,255,255,255,,
0,21,255,255,255,,
1,21,255,255,255,,
2,21,255,255,255,,
3,21,255,255,255,,
4,21,255,255,255,,
5,21,255,255,255,,
6,21,255,255,255,,
7,21,219,144,58,,
8,21,0,0,0,,
9,21,0,0,58,,
10,21,58,58,0,,
11,21,0,0,0,,
12,21,0,0,0,,
13,21,0,0,0,,
14,21,0,0,0,,
15,21,0,0,0,,
16,21,0,0,102,,
17,21,182,255,255,,
18,21,255,255,255,,
